date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:20:45	162949/162949	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2002:20:45%20GMT	https://www.agoda.com/vi-vn/packages?cid=1844104	C:/My%20Web%20Sites/agodatravel/www.agoda.com/vi-vn/packagesf263.html	(from )
09:20:46	165243/165243	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2002:20:46%20GMT	https://www.agoda.com/vi-vn/	C:/My%20Web%20Sites/agodatravel/www.agoda.com/vi-vn/index.html	(from )
09:20:46	163666/163666	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2002:20:46%20GMT	https://www.agoda.com/vi-vn/flights?cid=1844104	C:/My%20Web%20Sites/agodatravel/www.agoda.com/vi-vn/flightsf263.html	(from )
09:20:46	164926/164926	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2002:20:46%20GMT	https://www.agoda.com/vi-vn/?cid=1844104	C:/My%20Web%20Sites/agodatravel/www.agoda.com/vi-vn/indexf263.html	(from )
09:20:46	75067/75067	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2002:20:46%20GMT	https://www.agoda.com/vi-vn/deals?cid=1844104	C:/My%20Web%20Sites/agodatravel/www.agoda.com/vi-vn/dealsf263.html	(from )
09:20:46	99053/99053	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2002:20:46%20GMT	https://www.agoda.com/vi-vn/apartments/?cid=1844104	C:/My%20Web%20Sites/agodatravel/www.agoda.com/vi-vn/apartments/indexf263.html	(from )
09:20:47	680/680	---M-Z	200	added ('OK')	text/plain	date:Wed,%2002%20Aug%202023%2002:20:46%20GMT	https://www.agoda.com/robots.txt		(from )
09:20:47	265896/265896	---M-Z	200	added ('OK')	text/css	etag:W/%2204d61603b6cd91:0%22	https://cdn6.agoda.net/js/assets/browser-bundle/home-48d728f9d101.css	C:/My%20Web%20Sites/agodatravel/cdn6.agoda.net/js/assets/browser-bundle/home-48d728f9d101.css	(from https://www.agoda.com/vi-vn/)
09:20:48	167/167	---M--	301	error ('Moved%20Permanently')	application/javascript	date:Wed,%2002%20Aug%202023%2002:20:47%20GMT	http://tags.tiqcdn.com/utag/agoda/main2018/prod/utag.js	C:/My%20Web%20Sites/agodatravel/tags.tiqcdn.com/utag/agoda/main2018/prod/utag.4.delayed	(from https://www.agoda.com/vi-vn/)
09:20:48	574063/574063	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d883e77110ee545a6ef81f4b52692247%22	https://tags.tiqcdn.com/utag/agoda/main2018/prod/utag.js	C:/My%20Web%20Sites/agodatravel/tags.tiqcdn.com/utag/agoda/main2018/prod/utag.js	(from https://www.agoda.com/vi-vn/)
09:20:48	6145/6145	---M--	200	added ('OK')	image/png	etag:%223a2cc22cd296d01:0%22	https://cdn6.agoda.net/images/MVC/default/logo-agoda-mobile.png	C:/My%20Web%20Sites/agodatravel/cdn6.agoda.net/images/MVC/default/logo-agoda-mobile.png	(from https://www.agoda.com/vi-vn/)
09:20:48	433354/433354	---M-Z	200	added ('OK')	application/javascript	etag:W/%228074a8661abbd91:0%22	https://cdn6.agoda.net/js/assets/browser-bundle/505-3e1a512e47ba.js	C:/My%20Web%20Sites/agodatravel/cdn6.agoda.net/js/assets/browser-bundle/505-3e1a512e47ba.js	(from https://www.agoda.com/vi-vn/)
09:20:49	2706674/2706674	---M-Z	200	added ('OK')	application/javascript	etag:W/%22043ef7234bed91:0%22	https://cdn6.agoda.net/js/assets/browser-bundle/4271-985df7018469.js	C:/My%20Web%20Sites/agodatravel/cdn6.agoda.net/js/assets/browser-bundle/4271-985df7018469.js	(from https://www.agoda.com/vi-vn/)
09:20:49	309797/309797	---M-Z	200	added ('OK')	application/javascript	etag:W/%228034c5de7bc3d91:0%22	https://cdn6.agoda.net/js/assets/browser-bundle/2992-666b0a441935.js	C:/My%20Web%20Sites/agodatravel/cdn6.agoda.net/js/assets/browser-bundle/2992-666b0a441935.js	(from https://www.agoda.com/vi-vn/)
09:20:49	2614035/2614035	---M-Z	200	added ('OK')	application/javascript	etag:W/%2204f646a3b3d91:0%22	https://cdn6.agoda.net/js/assets/browser-bundle/3760-5bd5917c6b92.js	C:/My%20Web%20Sites/agodatravel/cdn6.agoda.net/js/assets/browser-bundle/3760-5bd5917c6b92.js	(from https://www.agoda.com/vi-vn/)
09:20:51	386356/386356	---M-Z	200	added ('OK')	application/javascript	etag:W/%228061bb8773c3d91:0%22	https://cdn6.agoda.net/js/assets/browser-bundle/home-e69294713e6e.js	C:/My%20Web%20Sites/agodatravel/cdn6.agoda.net/js/assets/browser-bundle/home-e69294713e6e.js	(from https://www.agoda.com/vi-vn/)
09:20:51	707424/707424	---M-Z	200	added ('OK')	text/css	etag:W/%228a8bf1219c2fd645409bae7e959151e8%22	https://cdn6.agoda.net/cdn-marketing_cronos/js/assets/cronos/deals-12b729d010a2.css	C:/My%20Web%20Sites/agodatravel/cdn6.agoda.net/cdn-marketing_cronos/js/assets/cronos/deals-12b729d010a2.css	(from https://www.agoda.com/vi-vn/deals?cid=1844104)
09:20:52	749858/749858	---M-Z	200	added ('OK')	text/css	etag:W/%22d0310a27810256a14491f4b5a687f30e%22	https://cdn6.agoda.net/cdn-geo-web/js/assets/LEGACY-BROWSERS-NOWL/accommodation-344bb0b33b19.css	C:/My%20Web%20Sites/agodatravel/cdn6.agoda.net/cdn-geo-web/js/assets/LEGACY-BROWSERS-NOWL/accommodation-344bb0b33b19.css	(from https://www.agoda.com/vi-vn/apartments/?cid=1844104)
09:20:52	4062992/4062992	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22ff9450f524a92e68b9869daf3e9c1633%22	https://cdn6.agoda.net/cdn-marketing_cronos/js/assets/cronos/deals-69bf65fe9c9c.js	C:/My%20Web%20Sites/agodatravel/cdn6.agoda.net/cdn-marketing_cronos/js/assets/cronos/deals-69bf65fe9c9c.js	(from https://www.agoda.com/vi-vn/deals?cid=1844104)
09:20:52	80/80	---M--	200	added ('OK')	image/gif	etag:%220ad111773fd81:0%22	https://cdn6.agoda.net/js/assets/browser-bundle/8b0cdd28f179cb838b19.gif	C:/My%20Web%20Sites/agodatravel/cdn6.agoda.net/js/assets/browser-bundle/8b0cdd28f179cb838b19.gif	(from https://cdn6.agoda.net/js/assets/browser-bundle/home-48d728f9d101.css)
09:21:01	6926/6926	---M--	200	added ('OK')	image/gif	etag:%22c4e6eb45974cd31:0%22	http://cdn0.agoda.net/images/mvc/default/spinner_mono_small.gif	C:/My%20Web%20Sites/agodatravel/cdn0.agoda.net/images/mvc/default/spinner_mono_small.gif	(from https://cdn6.agoda.net/cdn-marketing_cronos/js/assets/cronos/deals-12b729d010a2.css)
09:21:01	11136/11136	---M--	200	added ('OK')	image/png	etag:%22ea1fd6effed21:0%22	http://cdn6.agoda.net/images/CW-271/default/qrcode-wechat-v1.png	C:/My%20Web%20Sites/agodatravel/cdn6.agoda.net/images/CW-271/default/qrcode-wechat-v1.png	(from https://cdn6.agoda.net/cdn-marketing_cronos/js/assets/cronos/deals-12b729d010a2.css)
09:21:10	4198414/4198414	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22a6b5b8634929f1534fdb251caf49d806%22	https://cdn6.agoda.net/cdn-geo-web/js/assets/LEGACY-BROWSERS-NOWL/32456eddadaccommodation-344bb0b33b19.js	C:/My%20Web%20Sites/agodatravel/cdn6.agoda.net/cdn-geo-web/js/assets/LEGACY-BROWSERS-NOWL/32456eddadaccommodation-344bb0b33b19.js	(from https://www.agoda.com/vi-vn/apartments/?cid=1844104)
09:21:10	12289/12289	---M--	200	added ('OK')	image/png	etag:%22c72b4126241d51:0%22	http://cdn6.agoda.net/images/mvc/default/bg-sprite-icons_v44.png	C:/My%20Web%20Sites/agodatravel/cdn6.agoda.net/images/mvc/default/bg-sprite-icons_v44.png	(from https://cdn6.agoda.net/cdn-marketing_cronos/js/assets/cronos/deals-12b729d010a2.css)
09:21:11	55293/55293	---M--	200	added ('OK')	image/png	etag:%225a3dbd32d296d01:0%22	http://cdn1.agoda.net/images/mvc/tablet/tablet-sprite-icons-v2.png	C:/My%20Web%20Sites/agodatravel/cdn1.agoda.net/images/mvc/tablet/tablet-sprite-icons-v2.png	(from https://cdn6.agoda.net/cdn-marketing_cronos/js/assets/cronos/deals-12b729d010a2.css)
09:21:11	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2002%20Aug%202023%2002:21:03%20GMT	https://www.agoda.com/messaging-client-polyfills.js	C:/My%20Web%20Sites/agodatravel/www.agoda.com/messaging-client-polyfills.15.delayed	(from https://cdn6.agoda.net/cdn-marketing_cronos/js/assets/cronos/deals-69bf65fe9c9c.js)
09:21:13	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2002%20Aug%202023%2002:21:13%20GMT	https://www.agoda.com/vi-vn/$&/	C:/My%20Web%20Sites/agodatravel/www.agoda.com/vi-vn/$&/index.html	(from https://cdn6.agoda.net/cdn-marketing_cronos/js/assets/cronos/deals-69bf65fe9c9c.js)
09:21:13	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2002%20Aug%202023%2002:21:13%20GMT	https://www.agoda.com/vi-vn/POST	C:/My%20Web%20Sites/agodatravel/www.agoda.com/vi-vn/POST	(from https://cdn6.agoda.net/cdn-marketing_cronos/js/assets/cronos/deals-69bf65fe9c9c.js)
